1,Smartphone A,1001,Electronics,Experience the latest features in our flagship smartphone A
2,Running Shoes B,1002,Fashion,Stay fit and stylish with our comfortable running shoes B
3,Headphones C,1003,Electronics,Immerse yourself in your favorite music with our premium headphones C
4,Laptop D,1001,Electronics,Experience the latest features in our flagship laptop D
5,Dress E,1002,Fashion,Stay elegant and chic with our stylish dresses E
6,Earbuds F,1003,Electronics,Enjoy your music on the go with our wireless earbuds F
7,Tablet G,1001,Electronics,Experience the latest features in our cutting-edge tablet G
8,Sneakers H,1002,Fashion,Step out in style with our trendy sneakers H
9,Speakers I,1003,Electronics,Enhance your audio experience with our high-quality speakers I
10,Smartwatch J,1001,Electronics,Stay connected and organized with our sleek smartwatch J
11,T-shirt K,1002,Fashion,Express yourself with our comfortable and stylish t-shirts K
12,Camera L,1003,Electronics,Capture life's moments with our professional-grade camera L
13,Desktop M,1001,Electronics,Experience the power of computing with our powerful desktop M
14,Jeans N,1002,Fashion,Get the perfect fit with our premium denim jeans N
15,Virtual Reality Headset O,1003,Electronics,Immerse yourself in virtual worlds with our VR headset O
16,Monitor P,1001,Electronics,Enhance your productivity with our high-resolution monitor P
17,Blouse Q,1002,Fashion,Elevate your wardrobe with our elegant blouses Q
18,Wireless Mouse R,1003,Electronics,Enjoy freedom of movement with our wireless mouse R
19,Projector S,1001,Electronics,Bring your presentations to life with our versatile projector S
20,Skirt T,1002,Fashion,Add flair to your outfit with our stylish skirts T
21,External Hard Drive U,1003,Electronics,Backup and store your data securely with our external HDD U
22,Keyboard V,1001,Electronics,Type with precision and comfort using our ergonomic keyboard V
23,Sweater W,1002,Fashion,Stay cozy and chic with our fashionable sweaters W
24,Printer X,1003,Electronics,Print documents and photos effortlessly with our reliable printer X
25,Wireless Router Y,1001,Electronics,Stay connected with our high-speed wireless router Y
26,Jacket Z,1002,Fashion,Brave the elements in style with our trendy jackets Z
27,Smart Scale AA,1003,Electronics,Track your fitness progress with our smart scale AA
28,Wireless Headset AB,1001,Electronics,Enjoy hands-free communication with our wireless headset AB
29,Swimsuit AC,1002,Fashion,Make a splash with our stylish swimsuits AC
30,Bluetooth Speaker AD,1003,Electronics,Take your music anywhere with our portable Bluetooth speaker AD
